"","State/Territory","Total Cases","Confirmed","Probable"
"1","Texas","1072698","N/A","N/A"
"2","California","1072272","N/A","N/A"
"3","Florida","910065","N/A","N/A"
"4","Illinois","634395","634395","0"
"5","Georgia","440591","399407","41184"
"6","Wisconsin","365190","344945","20245"
"7","Ohio","335423","318151","17272"
"8","Tennessee","331532","306892","24640"
"9","North Carolina","328846","311772","17074"
"10","Michigan","321181","295177","26004"
"11","New Jersey","297370","N/A","N/A"
"12","Pennsylvania","295786","276455","19331"
"13","New York City*","294672","278056","16616"
"14","New York*","293960","N/A","N/A"
"15","Arizona","291696","283397","8299"
"16","Indiana","282311","N/A","N/A"
"17","Missouri","262436","N/A","N/A"
"18","Minnesota","256700","N/A","N/A"
"19","Alabama","228373","191408","36965"
"20","Louisiana","216709","N/A","N/A"
"21","Virginia","215680","193755","21925"
"22","Massachusetts","204234","194338","9896"
"23","Iowa","203975","N/A","N/A"
"24","South Carolina","203161","191021","12140"
"25","Colorado","188566","179340","9226"
"26","Maryland","179971","N/A","N/A"
"27","Oklahoma","175505","147768","27737"
"28","Utah","170584","170584","0"
"29","Kentucky","152206","125825","26381"
"30","Mississippi","142401","116768","25633"
"31","Arkansas","141916","N/A","N/A"
"32","Washington","139543","N/A","N/A"
"33","Kansas","134533","117246","17287"
"34","Nevada","129714","N/A","N/A"
"35","Nebraska","111661","N/A","N/A"
"36","Connecticut","101469","94426","7043"
"37","Idaho","89764","76570","13194"
"38","New Mexico","77098","N/A","N/A"
"39","North Dakota","71540","N/A","N/A"
"40","South Dakota","71070","N/A","N/A"
"41","Oregon","62175","60455","1720"
"42","Montana","53293","53293","0"
"43","Rhode Island","48001","N/A","N/A"
"44","Puerto Rico","46434","45268","1166"
"45","West Virginia","38480","33668","4812"
"46","Delaware","30816","29511","1305"
"47","Wyoming","27129","23347","3782"
"48","Alaska","25369","N/A","N/A"
"49","District of Columbia","19808","N/A","N/A"
"50","New Hampshire","16797","N/A","N/A"
"51","Hawaii","16766","N/A","N/A"
"52","Maine","10123","9075","1048"
"53","Guam","6452","N/A","N/A"
"54","Vermont","3458","N/A","N/A"
"55","Virgin Islands","1482","N/A","N/A"
"56","Northern Mariana Islands","103","103","0"
"57","Republic of Marshall Islands","4","1","3"
"58","American Samoa","3","N/A","N/A"
"59","Federated States of Micronesia","0","0","0"
"60","Palau","0","N/A","N/A"
